epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
57,196.958,0.8109,0.99149,1.27754,0.65814,0.5,0.66333,0.3338,1.97411,3.11556,2.42796,0.000742815,0.000742815,0.000742815
58,198.117,0.74305,0.95093,1.21499,0.48119,1,0.995,0.4975,1.94809,2.04904,2.54202,0.000726312,0.000726312,0.000726312
59,199.282,0.72626,0.94463,1.22237,0.75623,1,0.995,0.597,1.81106,1.32799,2.49325,0.000709809,0.000709809,0.000709809
60,200.488,0.78966,0.99156,1.28955,0.85479,1,0.995,0.47428,1.79555,1.61534,2.2086,0.000693305,0.000693305,0.000693305
61,201.664,0.71913,0.95327,1.23017,0.75556,1,0.995,0.41772,1.99217,1.7703,2.36373,0.000676802,0.000676802,0.000676802
62,202.882,0.69951,0.95881,1.22436,0.65849,1,0.995,0.41044,2.20652,2.00307,2.56673,0.000660299,0.000660299,0.000660299
63,204.09,0.86365,0.9925,1.33314,0.64311,1,0.995,0.30679,2.19235,2.28223,2.7665,0.000643795,0.000643795,0.000643795
64,205.333,0.83332,0.92877,1.24783,0.47655,0.5,0.62187,0.27818,2.02023,3.07016,2.52631,0.000627292,0.000627292,0.000627292
65,206.55,0.80093,1.0216,1.31935,0.48284,0.5,0.62187,0.32657,1.7472,3.3967,2.40588,0.000610789,0.000610789,0.000610789
66,207.774,0.80998,0.95681,1.29452,0.48396,0.5,0.66333,0.31508,1.87345,3.09343,2.57645,0.000594286,0.000594286,0.000594286
67,208.926,0.65281,0.91722,1.18654,0.48416,0.5,0.66333,0.2985,1.85855,2.78964,2.50293,0.000577782,0.000577782,0.000577782
68,210.113,0.66939,0.84304,1.17659,0.4902,0.93455,0.66333,0.398,1.74828,2.2999,2.38233,0.000561279,0.000561279,0.000561279
69,211.26,0.74404,0.8894,1.19082,0.60172,1,0.66333,0.41133,1.83342,2.70877,2.50913,0.000544776,0.000544776,0.000544776
70,212.407,0.65904,0.84178,1.17241,0.59838,1,0.66333,0.37724,2.20049,2.70328,2.75435,0.000528272,0.000528272,0.000528272
